Profile,    Color,  Count 1,    Count 2
R1,         Black,  4,          0
R1,         Purple, 2,          6
R2,         Black,  26,         28
R2,         Purple, 2,          0
R3,         Purple, 8,          8
R3 Homing,  Purple, 2,          2
